Title,Author,Date,Subgenre,isbn,pageCount,publisher,publishedDate,description,averageRating,ratingsCount,categories,maturityRating
Not Till We Are Lost,Dennis E. Taylor,10-29-2024,Hard Sci-Fi / Generation Ship,9781680683585,0,,2025,"""The best-selling series that readers label ""wonderfully entertaining"", ""packed with humor, geek references and thought-provoking storylines"" returns as the Bobs face their deadliest challenge yet. The Bobiverse is a different place in the aftermath of the Starfleet War, and the days of the Bobs gathering in one big happy moot are far behind. There's anti-Bob sentiment on multiple planets, the Skippies playing with an AI time bomb, and multiple Bobs just wanting to get away from it all. But it all pales compared to what Icarus and Daedalus discover on their 26,000-year journey to the center of the galaxy. Sure, it could settle the Fermi Paradox for good (and what Bob doesn't want to solve a mystery of the universe?). But it also reveals a threat to the galaxy greater than anything the Bobs could have imagined. Just another average day in the Bobiverse""--Page [4] of cover.",,,Artificial intelligence,NOT_MATURE
Heaven's River,Dennis E. Taylor,10-20-2024,Hard Sci-Fi / Generation Ship,9781680682267,632,,2021-01-26,"Civil war looms in the Bobiverse in this brand-new, epic-length adventure by best seller Dennis E. Taylor. More than a hundred years ago, Bender set out for the stars and was never heard from again. There has been no trace of him despite numerous searches by his clone-mates. Now Bob is determined to organize an expedition to learn Bender's fate-whatever the cost. But nothing is ever simple in the Bobiverse. Bob's descendants are out to the 24th generation now, and replicative drift has produced individuals who can barely be considered Bobs anymore. Some of them oppose Bob's plan; others have plans of their own. The out-of-control moots are the least of the Bobiverse's problems. Undaunted, Bob and his allies follow Bender's trail. But what they discover out in deep space is so unexpected and so complex that it could either save the universe-or pose an existential threat the likes of which the Bobiverse has never faced.",,,Fiction,NOT_MATURE
All These Worlds,Dennis E. Taylor,10-12-2024,Hard Sci-Fi / Generation Ship,9781668223437,0,S&S/Saga Press,2025-06-24,"A sentient fleet of Bobs faces their greatest challenge yet in this thrilling third installment of the action-packed Bobiverse saga, where survival depends on outsmarting relentless enemies, uniting scattered clones, and the ultimate race against time. For nearly a century, being a sentient spaceship has been anything but peaceful for Bob and his clones, who find themselves constantly navigating a galaxy teetering on chaos. They’ve seeded enough colonies to safeguard humanity’s future, but peace? That’s another story. Old rivalries refuse to die. The relentless Brazilian probes are still gunning for them, and if that wasn’t enough, the Bobs have managed to provoke a dangerous alien species. These ancient beings are powerful, hungry, and not exactly the forgiving type. After getting thoroughly outmatched in their first clash, the Bobs know a second encounter could mean the end—not just for them, but for Earth and every colony they’ve built. But rallying the Bobs is easier said than done. Some of the younger clones are more preoccupied with local dramas than with the looming interstellar threat. Hope, however, arrives from an unlikely corner of the universe. A discovery by a pair of eighth-generation Bobs might hold the key to humanity’s survival. The problem? It’s far away, and time is running out. If they can’t get their find to Sol before the Others return, it may all be over. High stakes, sprawling adventures, and brainy mayhem collide in All These Worlds, the thrilling third chapter in the Bobiverse saga.",,,Fiction,NOT_MATURE
For We Are Many,Dennis E. Taylor,10-12-2024,Hard Sci-Fi / Generation Ship,9781668221594,320,Simon and Schuster,2026-01-20,"The second installment in Dennis E. Taylor’s imaginative sci-fi saga follows an AI-powered interstellar explorer as he confronts alien threats, chaotic post-apocalyptic hurdles, and the ultimate challenge of saving humanity. Waking up after death wasn’t on Bob Johansson’s bucket list. But here he is, four decades later, inhabiting the mind of a sentient computer and piloting a self-replicating space probe. It was supposed to be a dream gig—explore the cosmos, find new worlds, repeat. Instead, everything has gone spectacularly off-script. Humanity is hanging by a thread after a devastating war wiped out 99.9 percent of the human race. The planet is spiraling into nuclear darkness, extremist groups are fighting over what scraps of civilization remain, and rogue Brazilian probes are doing their best to annihilate everything in their path. And the Bobs have encountered a terrifying alien species with one very straightforward view of other life forms: food. Bob never signed up to be a hero, and he certainly didn’t expect to play God to a fledgling alien civilization. Now, he faces the ultimate question: Can a scattered army of digital copies, outnumbered and outgunned, outsmart extinction itself? Packed with snarky humor, jaw-dropping discoveries, and a heaping dose of heart, For We Are Many continues the wildly inventive saga that redefines what it means to be human...or at least post-human. The stakes are immense, but with Bob on the job, survival might just depend on thinking way outside the box.",,,Fiction,NOT_MATURE
We Are Legion (We Are Bob),Dennis E. Taylor,10-08-2024,Hard Sci-Fi / Generation Ship,9781668221570,320,Simon and Schuster,2025-10-07,"“I love the Bobiverse! Some of the best sci-fi out there. These novels have everything, but most importantly Bob was there, too.” —Andy Weir, #1 New York Times bestselling author of Project Hail Mary The book that launched a thousand Bobs and the first novel in the Bobiverse series from Dennis E. Taylor, part space adventure, part philosophical voyage, We Are Legion (We Are Bob) is a captivating and hilarious exploration of the joys and dangers of artificial intelligence, the wonders of space, and everything that may await us out there. Deluxe edition, first print only! Welcome to the Bobiverse. We are Bob. We are legion. And we never intended on this. Bob Johansson had a plan. After selling his software business, a leisurely retirement awaited him. And, if the cryogenic lab freezing his head succeeds, an even longer retirement in the distant future when his corpsicle gets reawakened. Everything was looking up for Bob. That is, until he’s killed crossing the street just moments after signing the papers. A century later, Bob wakes up, not in a utopia but an Earth on the precipice of war. America is run by an extremist government that stripped his rights as a frozen head, uploaded his consciousness into an AI, and selected him to search space for habitable planets as a self-replicating von Neumann probe. It’s not ideal, but if he declines, he’ll be switched off for good. With Earth in turmoil, space may actually be the safest place for Bob. But the government failed to mention that he isn’t alone...at least three other countries are looking to claim the next Earth, and they play dirty. Using his new abilities and the von Neuman technology he does what any engineer would do: He makes more Bobs—and a virtual cat—and sets to save humanity before it’s too late.",,,Fiction,NOT_MATURE
Centers of Gravity,Marko Kloos,10-02-2024,Military Sci-Fi,9781542032810,332,Frontlines,2022-08-30,"Stranded light-years from home, Major Andrew Grayson and his crew are on a desperate mission to discover the Lankies' secrets. They can't let what they've found die with them. Nine hundred light-years from home, Major Andrew Grayson and the crew of NACS Washington are marooned in a sunless system with limited water, reactor fuel, and food. The last hope for survival is to go where nothing human has gone before. After embarking on a scouting mission to the only moon with surface signs of life, Andrew and his Special Tactics Team make two startling discoveries. One is a dream: a form of protein and plant life that could save the starving humans in the rogue system. The second is a nightmare: this harvested rock is infested with Lankies. Far from the seemingly mindless aggressors Andrew has battled for years, these show a terrifying awareness, and they have surprising secrets of their own hidden away in the darkness. When the Lankies sense an uninvited presence in their world, Andrew's operation becomes an expedition to hell. The odds against his small crew are stacked high. Of all the mysteries of space, how to escape with their lives is the greatest unknown of all.",5,1,Fiction,NOT_MATURE
Orders of Battle,Marko Kloos,09-17-2024,Military Sci-Fi,9781542019583,,47North,2020-12,"The battle against the Lankies has been won. Earth seems safe. Peacetime military? Not on your life. It's been four years since Earth threw its full military prowess against the Lanky incursion. Humanity has been yanked back from the abyss of extinction. The solar system is at peace. For now. The future for Major Andrew Grayson of the Commonwealth Defense Corps and his wife, Halley? Flying desk duty on the front. No more nightmares of monstrous things. No more traumas to the mind and body. But when an offer comes down from above, Andrew has to make a choice: continue pushing papers into retirement, or jump right back into the fight? What's a podhead to do? The remaining Lankies may have retreated in fear, but the threat isn't over. They need to be wiped out for good before they strike again. That'll take a new offensive deployment. Aboard an Avenger warship, Andrew and the special tactics team under his command embark on the ultimate search-and-destroy mission. This time, it'll be on Lanky turf. No big heroics. No unnecessary risks. Just a swift hit-and-run raid in the hostile Capella system. Blow the alien seed ships into oblivion and get the hell back to Earth. At least, that's the objective. But when does anything in war go according to plan?",5,1,,NOT_MATURE
Points of Impact,Marko Kloos,09-13-2024,Military Sci-Fi,9781542048460,0,47North,2018-01-09,"Humankind may have won the battle, but a new threat looms larger than ever before... Earth's armed forces have stopped the Lanky advance and chased their ships out of the solar system, but for CDC officer Andrew Grayson, the war feels anything but won. On Mars, the grinding duty of flushing out the twenty-meter-tall alien invaders from their burrows underground is wearing down troops and equipment at an alarming rate. And for the remaining extrasolar colonies, the threat of a Lanky attack is ever present. Earth's game changer? New advanced ships and weapons, designed to hunt and kill Lankies and place humanity's militaries on equal footing with their formidable foes. Andrew and his wife, Halley, both now burdened with command responsibilities and in charge of more lives than just their own, are once again in humanity's vanguard as they prepare for this new phase in the war. But the Lankies have their own agenda...and in war, the enemy doesn't usually wait until you are prepared. As Andrew is once again plunged into the chaos and violence of war with an unyielding species, he is forced to confront the toll this endless conflict is taking on them all, and the high price of survival...at any cost.",,,Armed Forces,NOT_MATURE
Fields of Fire,Marko Kloos,09-04-2024,Military Sci-Fi,9781503940710,0,47North,2017,"Mars has been under Lanky control for more than a year. Since then, the depleted forces of Earth s alliances have rebuilt their fleets, staffing old warships with freshly trained troops. Torn between the need to beat the Lankies to the punch and taking enough time to put together an effective fighting force, command has decided to strike now.",,,FICTION,NOT_MATURE
Chains of Command,Marko Kloos,09-04-2024,Military Sci-Fi,9781503950320,0,47North,2016,"The assault on Earth was thwarted by the destruction of the aliens' seed ship, but with Mars still under Lanky control, survivors work frantically to rebuild fighting capacity and shore up planetary defenses. Platoon sergeant Andrew Grayson must crash-course train new volunteers--all while dulling his searing memories of battle with alcohol and meds. Knowing Earth's uneasy respite won't last, the North American Commonwealth and its Sino-Russian allies hurtle toward two dangerous options: hit the Lanky forces on Mars or go after deserters who stole a fleet of invaluable warships critical to winning the war. Assigned to a small special ops recon mission to scout out the renegades' stronghold on a distant moon, Grayson and his wife, dropship pilot Halley, again find themselves headed for the crucible of combat--and a shattering new campaign in the war for humanity's future.",,,Extraterrestrial beings,NOT_MATURE
Angles of Attack,Marko Kloos,08-26-2024,Military Sci-Fi,9781477828311,0,47North,2015,"The alien forces known as the Lankies are gathering on the solar system's edge, consolidating their conquest of Mars and setting their sights on Earth. The far-off colony of New Svalbard, cut off from the rest of the galaxy by the Lanky blockade, teeters on the verge of starvation and collapse. The forces of the two Earth alliances have won minor skirmishes but are in danger of losing the war. For battle-weary staff sergeant Andrew Grayson and the ragged forces of the North American Commonwealth, the fight for survival is entering a catastrophic new phase. Forging an uneasy alliance with their Sino-Russian enemies, the NAC launches a hybrid task force on a long shot: a stealth mission to breach the Lanky blockade and reestablish supply lines with Earth. Plunging into combat against a merciless alien species that outguns, outmaneuvers, and outfights them at every turn, Andrew and his fellow troopers could end up cornered on their home turf, with no way out and no hope for reinforcement. And this time, the struggle for humanity's future can only end in either victory or annihilation.",,,Aliens,NOT_MATURE
Measures of Absolution,Marko Kloos,08-26-2024,Military Sci-Fi,,,,,,,,,
Lucky Thirteen,Marko Kloos,08-18-2024,Military Sci-Fi,,8,,1994,,,,,NOT_MATURE
Lines of Departure,Marko Kloos,08-18-2024,Military Sci-Fi,9781477817407,0,47north,2014,"Humanity is on the ropes, and after years of fighting a two-front war with losing odds, so is North American Defense Corps officer Andrew Grayson. He dreams of dropping out of the service one day, alongside his pilot girlfriend, but as warfare consumes entire planets and conditions on Earth deteriorate, he wonders if there will be anywhere left for them to go.",,,Dystopias,NOT_MATURE
Terms of Enlistment,Marko Kloos,08-13-2024,Military Sci-Fi,9781477809785,0,47north,2014,"The year is 2108, and the North American Commonwealth is bursting at the seams. For welfare rats like Andrew Grayson, there are only two ways out of the crime-ridden and filthy welfare tenements: You can hope to win the lottery and draw a ticket on a colony ship settling off-world, or you can join the service. Andrew chooses to enlist in the armed forces. But as he starts a career of supposed privilege, he soon learns that good food and decent health care come at a steep price.",,,FICTION,NOT_MATURE
Agent to the Stars,John Scalzi,08-12-2024,Comic Sci-Fi,9781429961431,366,Macmillan,2008-10-28,"From New York Times bestseller and Hugo Award-winner, John Scalzi, a gleeful mash-up of science fiction and Hollywood satire The space-faring Yherajk have come to Earth to meet us and to begin humanity's first interstellar friendship. There's just one problem: They're hideously ugly and they smell like rotting fish. So getting humanity's trust is a challenge. The Yherajk need someone who can help them close the deal. Enter Thomas Stein, who knows something about closing deals. He's one of Hollywood's hottest young agents. But although Stein may have just concluded the biggest deal of his career, it's quite another thing to negotiate for an entire alien race. To earn his percentage this time, he's going to need all the smarts, skills, and wits he can muster. Other Tor Books The Android’s Dream Agent to the Stars Your Hate Mail Will Be Graded Fuzzy Nation Redshirts 1. Lock In 2. Head On The Interdepency Sequence 1. The Collapsing Empire 2. The Consuming Fire Old Man's War Series 1. Old Man’s War 2. The Ghost Brigades 3. The Last Colony 4. Zoe’s Tale 5. The Human Division 6. The End of All Things At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",4,10,Fiction,NOT_MATURE
Can't Spell Treason Without Tea,Rebecca Thorne,07-30-2024,Cozy Fantasy,9781250333308,284,Bramble,2023-07-10,"In the tradition of Legends & Lattes, comes a cozy fantasy steeped in sapphic romance about one of the Queen’s private guards and a powerful mage who want to open a bookshop and live happily ever after...if only the world would let them. All Reyna and Kianthe want is to open a bookshop that serves tea. Worn wooden floors, plants on every table, firelight drifting between the rafters... all complemented by love and good company. Thing is, Reyna works as one of the Queen’s private guards, and Kianthe is the most powerful mage in existence. Leaving their lives isn’t so easy. But after an assassin takes Reyna hostage, she decides she’s thoroughly done risking her life for a self-centered queen. Meanwhile, Kianthe has been waiting for a chance to flee responsibility–all the better that her girlfriend is on board. Together, they settle in Tawney, a town nestled in the icy tundra near dragon country, and open the shop of their dreams. What follows is a cozy tale of mishaps, mysteries, and a murderous queen throwing the realm’s biggest temper tantrum. In a story brimming with hurt/comfort and quiet fireside conversations, these two women will discover just what they mean to each other... and the world. A Macmillan Audio production from Bramble. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",,,Fiction,NOT_MATURE
Jacaranda,Cherie Priest,07-22-2024,Steampunk,9781596066847,0,,2015,"Just before a hurricane makes landfall, a Texas Ranger, a nun, and a priest meet at Galveston, Texas's Jacaranda Hotel in order to break the curse that has killed over two dozen people in the establishment's single year of operation.",,,Blessing and cursing,NOT_MATURE
Four Thousand Weeks,Oliver Burkeman,07-13-2024,Philosophy / Productivity,9780374715243,140,"Farrar, Straus and Giroux",2021-08-10,"AN INSTANT NEW YORK TIMES BESTSELLER ""Provocative and appealing . . . well worth your extremely limited time."" —Barbara Spindel, The Wall Street Journal The average human lifespan is absurdly, insultingly brief. Assuming you live to be eighty, you have just over four thousand weeks. Nobody needs telling there isn’t enough time. We’re obsessed with our lengthening to-do lists, our overfilled inboxes, work-life balance, and the ceaseless battle against distraction; and we’re deluged with advice on becoming more productive and efficient, and “life hacks” to optimize our days. But such techniques often end up making things worse. The sense of anxious hurry grows more intense, and still the most meaningful parts of life seem to lie just beyond the horizon. Still, we rarely make the connection between our daily struggles with time and the ultimate time management problem: the challenge of how best to use our four thousand weeks. Drawing on the insights of both ancient and contemporary philosophers, psychologists, and spiritual teachers, Oliver Burkeman delivers an entertaining, humorous, practical, and ultimately profound guide to time and time management. Rejecting the futile modern fixation on “getting everything done,” Four Thousand Weeks introduces readers to tools for constructing a meaningful life by embracing finitude, showing how many of the unhelpful ways we’ve come to think about time aren’t inescapable, unchanging truths, but choices we’ve made as individuals and as a society—and that we could do things differently.",,,Self-Help,NOT_MATURE
Fiddlehead,Cherie Priest,07-11-2024,Steampunk,9781466807891,298,Macmillan + ORM,2013-11-12,"Young ex-slave Gideon Bardsley is a brilliant inventor, but the job is less glamorous than one might think, especially since the assassination attempts started. Worse yet, they're trying to destroy his greatest achievement: a calculating engine called Fiddlehead, which provides undeniable proof of something awful enough to destroy the world. Both man and machine are at risk from forces conspiring to keep the Civil War going and the money flowing. Bardsley has no choice but to ask his patron, former president Abraham Lincoln, for help. Lincoln retired from leading the country after an attempt on his life, but is quite interested in Bardsley's immense data-processing capacities, confident that if people have the facts, they'll see reason and urge the government to end the war. Lincoln must keep Bardsley safe until he can finish his research, so he calls on his old private security staff to protect Gideon and his data. Maria ""Belle"" Boyd was a retired Confederate spy, until she got a life-changing job offer from the Pinkerton Detective Agency. Pinkerton respects her work, despite reservations about her lingering Southern loyalties. But it's precisely those loyalties that let her go into Confederate territory to figure out who might be targeting Bardsley. Maria is a good detective, but with spies from both camps gunning for her, can even the notorious Belle Boyd hold the greedy warhawks at bay? Another rollicking alternate history from Cherie Priest —Fiddlehead is the fifth book in the Clockwork Century steampunk series that started with Boneshaker. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",,,Fiction,NOT_MATURE
Consider Phlebas,Iain M. Banks,06-27-2024,Space Opera,9780316095839,504,Orbit,2009-12-01,"The first book in Iain M. Banks's seminal science fiction series, The Culture. Consider Phlebas introduces readers to the utopian conglomeration of human and alien races that explores the nature of war, morality, and the limitless bounds of mankind's imagination. The war raged across the galaxy. Billions had died, billions more were doomed. Moons, planets, the very stars themselves, faced destruction, cold-blooded, brutal, and worse, random. The Idirans fought for their Faith; the Culture for its moral right to exist. Principles were at stake. There could be no surrender. Within the cosmic conflict, an individual crusade. Deep within a fabled labyrinth on a barren world, a Planet of the Dead proscribed to mortals, lay a fugitive Mind. Both the Culture and the Idirans sought it. It was the fate of Horza, the Changer, and his motley crew of unpredictable mercenaries, human and machine, actually to find it, and with it their own destruction. The Culture Series Consider Phlebas The Player of Games Use of Weapons The State of the Art Excession Inversions Look to Windward Matter Surface Detail The Hydrogen Sonata",4.5,9,Fiction,NOT_MATURE
This Land Is Their Land,David J. Silverman,06-27-2024,American History / Nonfiction,9781632869265,529,Bloomsbury Publishing USA,2019-11-05,"* Pre-order David J. Silverman's next audiobook, The Chosen and The Damned: Native Americans and the Making of Race in the United States. Coming February 2026. * Ahead of the 400th anniversary of the first Thanksgiving, a new look at the Plymouth colony's founding events, told for the first time with Wampanoag people at the heart of the story.",5,1,History,NOT_MATURE
The Inexplicables,Cherie Priest,06-27-2024,Steampunk,9780765329479,368,Macmillan,2012-11-13,The fifth book in the Clockwork Century steampunk adventure series that started with Cherie Priest's Boneshaker,,,Fiction,NOT_MATURE
Ganymede,Cherie Priest,06-19-2024,Steampunk,9781743510155,364,Tor UK,2013-03-01,"Josephine Early, New Orleans brothel owner and Union spy, has a mission. And it might just end the Civil War. She must deliver Ganymede, an astonishing prototype submarine, to the North. But the giant war machine is at the bottom of a lake, no one has safely piloted it and she must sneak its huge bulk past enemy forces. Luckily, she knows the right man for the job. She hasn't seen former lover and air-pirate Andan Cly for years, but has a sweet job to tempt him back. He agrees to help, but his primary mission is to retrieve supplies for blighted Seattle, where noxious gas has forced residents underground and undead rotters menace the city. Although legit, the Seattle run makes Cly uncomfortable. He no longer flies sap, disapproving of the drug's ugly side-effects, and the job is funded with sap money. Josephine's jaunt could be a great distraction. But will they make history, or end up at the bottom of the ocean?",,,Fiction,NOT_MATURE
Dreadnought,Cherie Priest,06-09-2024,Steampunk,9781429943642,307,Macmillan + ORM,2010-09-28,"Nurse Mercy Lynch is elbows deep in bloody laundry at a war hospital in Richmond, Virginia, when Clara Barton comes bearing bad news: Mercy's husband has died in a POW camp. On top of that, a telegram from the west coast declares that her estranged father is gravely injured, and he wishes to see her. Mercy sets out toward the Mississippi River. Once there, she'll catch a train over the Rockies and—if the telegram can be believed—be greeted in Washington Territory by the sheriff, who will take her to see her father in Seattle. Reaching the Mississippi is a harrowing adventure by dirigible and rail through war-torn border states. When Mercy finally arrives in St. Louis, the only Tacoma-bound train is pulled by a terrifying Union-operated steam engine called the Dreadnought. Reluctantly, Mercy buys a ticket and climbs aboard. What ought to be a quiet trip turns deadly when the train is beset by bushwhackers, then vigorously attacked by a band of Rebel soldiers. The train is moving away from battle lines into the vast, unincorporated west, so Mercy can't imagine why they're so interested. Perhaps the mysterious cargo secreted in the second and last train cars has something to do with it? Mercy is just a frustrated nurse who wants to see her father before he dies. But she'll have to survive both Union intrigue and Confederate opposition if she wants to make it off the Dreadnought alive. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",,,Fiction,NOT_MATURE
Clementine,Cherie Priest,06-03-2024,Steampunk,9788490181621,195,La Factoría de Ideas,2013-01-25,"La popularidad de Maria Isabella Boyd como espía confederada la inhabilita para desempeñar semejante labor, por lo que empieza a trabajar, muy a su pesar, para la agencia nacional de detectives Pinkerton de Chicago. La nave Clementine, un dirigible de transporte federal con un cargamento altamente secreto, debe llegar sin demora a su destino, pero está siendo salvajemente acosada. Su incansable perseguidor es el pirata aéreo Croggon Hainey, un esclavo fugitivo buscado por las autoridades desde hace quince años. El deber de Maria es atraparlo, pero cuando fuerzas ajenas conspiran contra ambos, deciden arriesgarse y formar una alianza… Alguien, en algún lugar, va a lamentar el día en que se cruzó con ellos.",,,Fiction,NOT_MATURE
The Kaiju Preservation Society,John Scalzi,05-06-2024,Comic Sci-Fi,9780765389138,226,Tor Books,2022-03-15,"The Kaiju Preservation Society is John Scalzi's first standalone adventure since the conclusion of his New York Times bestselling Interdependency trilogy. When COVID-19 sweeps through New York City, Jamie Gray is stuck as a dead-end driver for food delivery apps. That is, until Jamie makes a delivery to an old acquaintance, Tom, who works at what he calls “an animal rights organization.” Tom’s team needs a last-minute grunt to handle things on their next field visit. Jamie, eager to do anything, immediately signs on. What Tom doesn't tell Jamie is that the animals his team cares for are not here on Earth. Not our Earth, at least. In an alternate dimension, massive dinosaur-like creatures named Kaiju roam a warm, human-free world. They're the universe's largest and most dangerous panda and they're in trouble. It's not just the Kaiju Preservation Society who have found their way to the alternate world. Others have, too. And their carelessness could cause millions back on our Earth to die. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",5,1,Fiction,NOT_MATURE
Boneshaker,Cherie Priest,05-06-2024,Steampunk,9781429942492,417,Macmillan + ORM,2009-09-29,"In the early days of the Civil War, rumors of gold in the frozen Klondike brought hordes of newcomers to the Pacific Northwest. Anxious to compete, Russian prospectors commissioned inventor Leviticus Blue to create a great machine that could mine through Alaska's ice. Thus was Dr. Blue's Incredible Bone-Shaking Drill Engine born. But on its first test run the Boneshaker went terribly awry, destroying several blocks of downtown Seattle and unearthing a subterranean vein of blight gas that turned anyone who breathed it into the living dead. Now it is sixteen years later, and a wall has been built to enclose the devastated and toxic city. Just beyond it lives Blue's widow, Briar Wilkes. Life is hard with a ruined reputation and a teenaged boy to support, but she and Ezekiel are managing. Until Ezekiel undertakes a secret crusade to rewrite history. His quest will take him under the wall and into a city teeming with ravenous undead, air pirates, criminal overlords, and heavily armed refugees. And only Briar can bring him out alive. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",4,11,Fiction,NOT_MATURE
Devils Desk 2,Mark Tufo,05-01-2024,Zombie Apocalypse,9798863602752,0,Independently Published,2024-01-02,"It's impossible to mind your own business in an apocalypse. Thieves, pillagers, murderers-these lovely folks used to be your neighbors. At least your best friend gives you an out when he calls from Alaska, asking for help to avenge his wife's murder. Cataclysmic earthquakes have decimated the American West, sending the country into chaos. As the Talbot family seeks refuge in the Rockies amid a rising catastrophe, a desperate SOS from BT uproots their plans for survival to send them on a world-altering quest for revenge, rescue, and the very life of the human race. Because something worse is stirring at the geographic epicenter of the disaster-Devils Desk, Alaska. The quakes have done more than just upend the country. Unaware of the nature of this new threat, the Talbots head into the breach to take on a rift to a dark dimension where a monstrous, boreal race awakens... As the unstoppable enemy masses in the paralyzed West, familiar characters from Talbot's universe converge to form a resistance, but will it be enough to defeat this cataclysmic foe? Find out in book 2 of the brand-new apocalyptic series from the bestselling author of Zombie Fallout and Indian Hill.",,,Fiction,NOT_MATURE
Devil's Desk,Mark Tufo,04-26-2024,Zombie Apocalypse,,,,,,,,,
1177 B.C.,Eric H. Cline,04-15-2024,Ancient History / Nonfiction,9780691208022,300,Princeton University Press,2021-02-02,"A bold reassessment of what caused the Late Bronze Age collapse In 1177 B.C., marauding groups known only as the ""Sea Peoples"" invaded Egypt. The pharaoh's army and navy managed to defeat them, but the victory so weakened Egypt that it soon slid into decline, as did most of the surrounding civilizations. After centuries of brilliance, the civilized world of the Bronze Age came to an abrupt and cataclysmic end. Kingdoms fell like dominoes over the course of just a few decades. No more Minoans or Mycenaeans. No more Trojans, Hittites, or Babylonians. The thriving economy and cultures of the late second millennium B.C., which had stretched from Greece to Egypt and Mesopotamia, suddenly ceased to exist, along with writing systems, technology, and monumental architecture. But the Sea Peoples alone could not have caused such widespread breakdown. How did it happen? In this major new account of the causes of this ""First Dark Ages,"" Eric Cline tells the gripping story of how the end was brought about by multiple interconnected failures, ranging from invasion and revolt to earthquakes, drought, and the cutting of international trade routes. Bringing to life the vibrant multicultural world of these great civilizations, he draws a sweeping panorama of the empires and globalized peoples of the Late Bronze Age and shows that it was their very interdependence that hastened their dramatic collapse and ushered in a dark age that lasted centuries. A compelling combination of narrative and the latest scholarship, 1177 B.C. sheds new light on the complex ties that gave rise to, and ultimately destroyed, the flourishing civilizations of the Late Bronze Age—and that set the stage for the emergence of classical Greece.",,,History,NOT_MATURE
Elric of Melniboné,Michael Moorcock,03-30-2024,Sword & Sorcery,9781534445680,736,Simon and Schuster,2022-02-15,"""In one of the most well-known and well-loved fantasy epics of the 20th century, Elric is the brooding, albino emperor of the dying Kingdom of Melnibone. With Melnibone's years of grandeur and decadence long since passed, Elric's amoral cousin Yrkoon sets his eyes on the throne. Elric, realizing he is his country's best hope, must face his nefarious cousin in an epic battle for the right to rule. Elric of Melnibone is the first in Michael Moorcock's incredible series, which created fantasy archetypes that have echoed through the genre for generations""--",,,Fiction,NOT_MATURE
Dead of Night,Jonathan Maberry,03-30-2024,Zombie Horror,9781250000897,369,Macmillan,2011-10-25,"Injected by a prison doctor with a formula designed to keep his consciousness awake after death, a condemned serial killer experiences unforeseen, contagious side effects and emerges from his grave to begin a murderous rampage that is combated by two small-town cops.",,,Fiction,NOT_MATURE
Bookshops & Bonedust,Travis Baldree,03-24-2024,Cozy Fantasy,9781250347299,59,Tor Books,2023-08-29,"When an injury throws a young, battle-hungry orc off her chosen path, she may find that what we need isn't always what we seek. Set in the world of New York Times bestselling Legends & Lattes, Travis Baldree's Bookshops & Bonedust takes us on a journey of high fantasy, first loves, and second-hand books. Download a FREE sneak peek today! Viv's career with the notorious mercenary company Rackam's Ravens isn't going as planned. Wounded during the hunt for a powerful necromancer, she's packed off against her will to recuperate in the sleepy beach town of Murk—so far from the action that she worries she'll never be able to return to it. What's a thwarted soldier of fortune to do? Spending her hours at a beleaguered bookshop in the company of its foul-mouthed proprietor is the last thing Viv would have predicted, but it may be both exactly what she needs and the seed of changes she couldn't possibly imagine. Still, adventure isn't all that far away. A suspicious traveler in gray, a gnome with a chip on her shoulder, a summer fling, and an improbable number of skeletons prove Murk to be more eventful than Viv could have ever expected. “Take a break from epic battles and saving the world. This is a low-stakes fantasy that delivers exactly what's advertised: a wholesome, cozy novel that feels like a warm hug. This is my new comfort read.”—Genevieve Gornichec, author of The Witch's Heart, on Legends & Lattes At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",,,Fiction,NOT_MATURE
Legends & Lattes,Travis Baldree,03-19-2024,Cozy Fantasy,9781250886095,233,Tor Books,2022-06-07,"An Instant New York Times Bestseller A Barnes & Noble Best Book of 2022 A Library Reads Pick An Indie Next Pick A Goodreads Best Fantasy Choice Award Nominee The much-beloved BookTok sensation, Travis Baldree's novel of high fantasy and low stakes. *This new edition includes a very special, never-before-seen bonus story, 'Pages to Fill.'* After a lifetime of bounties and bloodshed, Viv is hanging up her sword for the last time. The battle-weary orc aims to start fresh, opening the first ever coffee shop in the city of Thune. But old and new rivals stand in the way of success — not to mention the fact that no one has the faintest idea what coffee actually is. If Viv wants to put the blade behind her and make her plans a reality, she won't be able to go it alone. But the true rewards of the uncharted path are the travelers you meet along the way. And whether drawn together by ancient magic, flaky pastry, or a freshly brewed cup, they may become partners, family, and something deeper than she ever could have dreamed. “Take a break from epic battles and saving the world. Legends & Lattes is a low-stakes fantasy that delivers exactly what's advertised: a wholesome, cozy novel that feels like a warm hug. This is my new comfort read.”—Genevieve Gornichec, author of The Witch's Heart At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",,,Fiction,NOT_MATURE
